Region,Beach,Time_Period,Bars,Catch
Sydney South ,Bondi,1980-1989,148.0899058,15.96565023
Sydney South ,Bondi,1990-1999,184.220851,36.13094516
Sydney South ,Bondi,2000-2009,243.3481768,59.12732578
Sydney South ,Bronte,1950-1959,36.63229989,36.63229989
Sydney South ,Bronte,1960-1969,81.80476812,45.17246823
Sydney South ,Bronte,1970-1979,112.9027043,31.09793619
Sydney South ,Bronte,1980-1989,136.7035472,23.80084293
Sydney South ,Bronte,1990-1999,158.7236513,22.02010411
Sydney South ,Bronte,2000-2009,201.1655372,42.44188585
Sydney South ,Coogee,1950-1959,32.41929348,32.41929348
Sydney South ,Coogee,1960-1969,52.13406628,19.7147728
Sydney South ,Coogee,1970-1979,68.03697455,15.90290827
Sydney South ,Coogee,1980-1989,72.89976691,4.862792357
Sydney South ,Coogee,1990-1999,101.2844038,28.3846369
Sydney South ,Coogee,2000-2009,161.0379873,59.75358349
Sydney South ,Maroubra,1950-1959,141.4738242,141.4738242
Sydney South ,Maroubra,1960-1969,206.9617614,65.4879372
Sydney South ,Maroubra,1970-1979,250.2429662,43.2812048
Sydney South ,Maroubra,1980-1989,291.8127098,41.56974356
Sydney South ,Maroubra,1990-1999,342.9817554,51.16904556
Sydney South ,Maroubra,2000-2009,428.3383429,85.35658756
Sydney South ,Wanda,1970-1979,48.19395835,48.19395835
Sydney South ,Wanda,1980-1989,70.97698726,22.78302892
Sydney South ,Wanda,1990-1999,90.53737417,19.56038691
Sydney South ,Wanda,2000-2009,125.0782754,34.54090123
Sydney South ,Elouera,1970-1979,31.47569507,31.47569507
Sydney South ,Elouera,1980-1989,61.05475298,29.57905791
Sydney South ,Elouera,1990-1999,76.12400651,15.06925353
Sydney South ,Elouera,2000-2009,105.5501309,29.42612438
Sydney South ,North Cronulla,1950-1959,234.3569054,234.3569054
Sydney South ,North Cronulla,1960-1969,444.1952114,209.838306
Sydney South ,North Cronulla,1970-1979,487.4757626,43.28055124
Sydney South ,North Cronulla,1980-1989,509.466529,21.99076644
Sydney South ,North Cronulla,1990-1999,522.1682176,12.70168858
Sydney South ,North Cronulla,2000-2009,553.9582034,31.78998581
Sydney South ,Cronulla,1950-1959,50.64830181,50.64830181
Sydney South ,Cronulla,1960-1969,163.4936379,112.8453361
Sydney South ,Cronulla,1970-1979,213.9863919,50.49275404
Sydney South ,Cronulla,1980-1989,247.7193452,33.73295326
Sydney South ,Cronulla,1990-1999,273.2891628,25.56981763
Sydney South ,Cronulla,2000-2009,328.3866248,55.09746199
Sydney South ,Warramolla,1970-1979,96.89290232,96.89290232
Sydney South ,Warramolla,1980-1989,178.5781412,81.68523887
Sydney South ,Warramolla,1990-1999,254.2882251,75.71008385
Sydney South ,Warramolla,2000-2009,417.9445999,163.6563748
Sydney South ,Garie,1970-1979,62.63477562,62.63477562
Sydney South ,Garie,1980-1989,137.0359925,74.40121686
Sydney South ,Garie,1990-1999,225.3370224,88.30102997
Sydney South ,Garie,2000-2009,364.5959974,139.258975
Illawarra,Coledale,1970-1979,18.77044821,18.77044821
Illawarra,Coledale,1980-1989,68.68530813,49.91485992
Illawarra,Coledale,1990-1999,89.68919583,21.0038877
Illawarra,Coledale,2000-2009,140.2152089,50.52601309
Illawarra,Austinmer,1950-1959,108.8154723,108.8154723
Illawarra,Austinmer,1960-1969,166.1142766,57.29880432
Illawarra,Austinmer,1970-1979,212.8130301,46.69875354
Illawarra,Austinmer,1980-1989,262.4458417,49.63281158
Illawarra,Austinmer,1990-1999,312.5484192,50.10257748
Illawarra,Austinmer,2000-2009,393.9712166,81.42279739
Illawarra,Thirroul,1950-1959,105.9387825,105.9387825
Illawarra,Thirroul,1960-1969,126.5505329,20.61175045
Illawarra,Thirroul,1970-1979,203.0798932,76.52936023
Illawarra,Thirroul,1980-1989,268.7981747,65.71828152
Illawarra,Thirroul,1990-1999,327.8041558,59.00598109
Illawarra,Thirroul,2000-2009,429.5408971,101.7367414
Illawarra,North Wollongong,1950-1959,37.84879678,37.84879678
Illawarra,North Wollongong,1960-1969,51.09853347,13.24973669
Illawarra,North Wollongong,1970-1979,61.57382651,10.47529304
Illawarra,North Wollongong,1980-1989,72.67377966,11.09995315
Illawarra,North Wollongong,1990-1999,86.89834051,14.22456084
Illawarra,North Wollongong,2000-2009,140.214047,53.31570652
Illawarra,South Wollongong,1950-1959,60.62470913,60.62470913
Illawarra,South Wollongong,1960-1969,82.65396311,22.02925398
Illawarra,South Wollongong,1970-1979,235.3593243,152.7053612
Illawarra,South Wollongong,1980-1989,327.1949633,91.83563894
Illawarra,South Wollongong,1990-1999,407.4881149,80.29315164
Illawarra,South Wollongong,2000-2009,554.4032066,146.9150917
